X,Y,Nombre,Tipo_Seg,vertex_index
689775.316151027,4131013.98534325,A,Si,"0"
689791.333519799,4131021.0787493,A,Si,"1"
689800.715121328,4130997.28151562,A,Si,"2"
689784.240113452,4130990.64574867,A,Si,"3"
689775.316151027,4131013.98534325,A,Si,"4"
689802.316858235,4131002.54436535,B,Si,"0"
689812.384918604,4131006.66311725,B,Si,"1"
689819.249505091,4130989.7304702,B,Si,"2"
689817.190129107,4130989.04401156,B,Si,"3"
689819.478324602,4130983.32352269,B,Si,"4"
689814.444294422,4130981.72178585,B,Si,"5"
689812.062963809,4130987.12518597,B,Si,"6"
689809.181444725,4130986.06935741,B,Si,"7"
689802.316858235,4131002.54436535,B,Si,"8"
689876.973720176,4131010.6871919,C,Si,"0"
689882.583395977,4131012.87401462,C,Si,"1"
689891.806083144,4130991.00578684,C,Si,"2"
689886.006248842,4130988.81896411,C,Si,"3"
689876.973720176,4131010.6871919,C,Si,"4"
689890.189736086,4131022.28686041,D,Si,"0"
689900.701935759,4131026.51788699,D,Si,"1"
689903.215593401,4131019.52956203,D,Si,"2"
689892.94703431,4131015.53623357,D,Si,"3"
689890.189736086,4131022.28686041,D,Si,"4"
689913.10383555,4131032.84065709,E,Si,"0"
689922.136364381,4131036.3585893,E,Si,"1"
689925.273979593,4131027.6112982,E,Si,"2"
689916.621767767,4131024.28352449,E,Si,"3"
689913.10383555,4131032.84065709,E,Si,"4"
689922.136364381,4131036.3585893,F,Si,"0"
689921.120204907,4131038.90195927,F,Si,"1"
689928.56958783,4131041.72182394,F,Si,"2"
689931.887929994,4131032.31772107,F,Si,"3"
689924.494112409,4131029.78547344,F,Si,"4"
689922.136364381,4131036.3585893,F,Si,"5"
689954.693606411,4130970.59077167,Espera de camiones,No,"0"
689932.573590244,4130963.79076685,Espera de camiones,No,"1"
689922.993583388,4130983.2907812,Espera de camiones,No,"2"
689944.393599057,4130994.2907891,Espera de camiones,No,"3"
689954.693606411,4130970.59077167,Espera de camiones,No,"4"
689817.190129107,4130989.04401156,Zona Pala,No,"0"
689819.249505091,4130989.7304702,Zona Pala,No,"1"
689840.621371359,4130999.46297471,Zona Pala,No,"2"
689845.821942032,4130984.29986468,Zona Pala,No,"3"
689822.513359724,4130975.59047522,Zona Pala,No,"4"
689817.190129107,4130989.04401156,Zona Pala,No,"5"
689956.8827,4130984.4440,Caseta de coordinadores 2,Si,"0"
689954.2162,4130993.7850,Caseta de coordinadores 2,Si,"1"
689965.0258,4130998.2610,Caseta de coordinadores 2,Si,"2"
689967.6488,4130988.1690,Caseta de coordinadores 2,Si,"3"
689956.8827,4130984.4440,Caseta de coordinadores 2,Si,"4"
689993.682340079,4131023.73202609,Bascula,Si,"0"
690001.34614754,4131022.04339049,Bascula,Si,"1"
689996.150345743,4131003.33850444,Bascula,Si,"2"
689988.87622341,4131005.28693013,Bascula,Si,"3"
689993.682340079,4131023.73202609,Bascula,Si,"4"
689805.523498177,4131047.19082884,Zona Proyecto,ZonaProyecto,"0"
689935.993593554,4131089.99085921,Zona Proyecto,ZonaProyecto,"1"
689970.873618286,4130983.19078078,Zona Proyecto,ZonaProyecto,"2"
689970.793618133,4130968.59077009,Zona Proyecto,ZonaProyecto,"3"
689918.093579633,4130955.12076061,Zona Proyecto,ZonaProyecto,"4"
689896.593563989,4130959.29076383,Zona Proyecto,ZonaProyecto,"5"
689864.893540931,4130966.75076952,Zona Proyecto,ZonaProyecto,"6"
689824.003511086,4130960.52076527,Zona Proyecto,ZonaProyecto,"7"
689820.193508385,4130972.39077399,Zona Proyecto,ZonaProyecto,"8"
689805.523498177,4131047.19082884,Zona Proyecto,ZonaProyecto,"9"
